address,zpid,price,bedrooms,rentZestimate,livingArea
"243 Merrymont Rd, Cheektowaga, NY 14225",30281097,239900,4,2299.0,1562
"17 Heather Rd, Cheektowaga, NY 14225",30285426,159900,4,,1110
"70 Rockdale Dr, Amherst, NY 14228",30240321,449900,4,3022.0,2582
"619 Lisbon Ave, Buffalo, NY 14215",30162476,229999,4,,1471
"13 Park St, Buffalo, NY 14201",30199532,275000,1,2021.0,1662
"70 Briarcliff Rd, Buffalo, NY 14225",30281084,164900,3,1981.0,1176
"39 Sprucewood Dr, Cheektowaga, NY 14227",30305315,225000,3,,1116
"167 Oehman Blvd, Cheektowaga, NY 14225",30284467,219000,3,2103.0,1152
"335 Orchard Dr, Buffalo, NY 14223",30386653,199900,3,1794.0,936
"365 Cleveland Dr, Buffalo, NY 14223",30387722,185000,2,1642.0,986
"20 Cove Holw, Buffalo, NY 14224",30413754,456000,3,,2750
"639 Seneca Creek Rd, Buffalo, NY 14224",60061312,1,4,1851.0,1771
"11 Sunrise Ter, Buffalo, NY 14224",30415728,330000,4,2366.0,1992
"16 Hubbardston Pl, Amherst, NY 14228",30240119,289900,3,2084.0,1172
"115 Edgewood Ave, Buffalo, NY 14223",30402393,174900,5,1896.0,1319
"213 Heath St, Buffalo, NY 14214",30159596,235000,4,,1631
"150 Pickford Ave, Buffalo, NY 14223",30401744,249900,4,,1587
"32 E Cherbourg Dr, Buffalo, NY 14227",30302287,249900,3,2305.0,1476
"41 Victory Ave, Lackawanna, NY 14218",30223452,149900,5,1875.0,1559
"314 Tampa Dr, Buffalo, NY 14220",30411849,189900,3,1675.0,1000
"52 Millicent Ave, Buffalo, NY 14215",133694424,119900,4,1313.0,1272
"187 E Grand Blvd, Cheektowaga, NY 14225",30288954,175000,2,1577.0,840
"291 Choate Ave, Buffalo, NY 14220",30216970,169900,4,,1475
"8 Northledge Dr, Amherst, NY 14226",30259693,249900,2,1837.0,1134
"81 Grandview Ave, Buffalo, NY 14223",30402855,199999,4,,1452
"163 Highland Ave, Buffalo, NY 14222",132860613,1150000,6,4209.0,5074
"94 Circle Ln, Lackawanna, NY 14218",30225056,194500,2,1634.0,1958
"(undisclosed Address), Buffalo, NY 14212",30204251,99000,3,,1429
"2300 Main St, Buffalo, NY 14214",66870777,349900,4,1536.0,4337
"3695 6th St, Buffalo, NY 14219",442344974,229900,3,,1395
"8 Sweethaven Ct, Amherst, NY 14228",30235883,350000,2,2300.0,1540
"373 Orchard Dr, Buffalo, NY 14223",30386660,179900,2,1636.0,900
"132 Wallace Ave, Cheektowaga, NY 14227",30293072,224900,3,1999.0,1080
"43 Briscoe Ave, Buffalo, NY 14211",30196096,139900,3,,1260
"72 Birkdale Rd, Cheektowaga, NY 14225",30284508,200000,3,1883.0,1701
"760 Auburn Ave, Buffalo, NY 14222",30184703,789000,4,,2688
"134 Kingsley St, Buffalo, NY 14208",30188157,95000,3,1581.0,1264
"237 Comstock Ave, Buffalo, NY 14215",30163183,154900,3,,1215
"281 Schoelles Rd, Amherst, NY 14228",246995949,515000,4,3381.0,2134
"22 Heward Ave, Buffalo, NY 14207",30151978,169900,3,1287.0,1537
"597 Norfolk Ave, Buffalo, NY 14215",30175867,149000,4,1208.0,1490
